SL. For reference,Year,Season,Nest Code,Well Code,Depth and Color (to be used in plot and analysis),COLOR assigned (FOUR Color) FINAL 2013,Lat,Lon,Temp,WD,EC,pH,As,Mn,Fe,Ca,Q1,Q2,Q3,Q4,Q5,Q9,GWQI,GWQC
116,2011,0,N6,P6 (SASMIT 49),Deep,BLACK,23.38665,90.66805,29.1,218.597561,504,6.87,5.6,0.3162,3.8922,32.9013,126,-26,56,316.2359,1297.404333,16.45065,551.75,Not Sustainable
118,2009,0,N7,P1,Deep,BLACK,23.48756,90.66227,26.7,218.597561,830,6.8,379.4336,1.3768,17.781,157.2012,207.5,-40,3794.336,1376.773315,5927.00651,78.60061719,2497.35,Not Sustainable
120,2010,0,N7,P1,Deep,WHITE,23.48756,90.66227,26.1,236.5853659,635,7,331.8828,1.0532,15.2732,144.887,158.75,0,3318.828,1053.157,5091.073333,72.4435224,2050.55,Not Sustainable
122,2009,0,N7,P2,Shallow - Black,BLACK,23.48756,90.66227,26.7,13.7195122,1190,6.9,600.1672,0.373,9.7061,135.5847,297.5,-20,6001.672,372.974823,3235.358073,67.79235938,1113.35,Not Sustainable
124,2010,0,N7,P2,Deep,WHITE,23.48756,90.66227,26.4,236.5853659,1138,7,492.1422,0.248,9.5251,131.2426,284.5,0,4921.422,247.9718,3175.036333,65.6213,998.69,Not Sustainable
126,2011,0,N7,P2,Shallow - Black,BLACK,23.48756,90.66227,27.1,30.48780488,1197,7.05,535.6126,0.2171,6.2473,94.1113,299.25,10,5356.126,217.1245,2082.423333,47.05566,710.95,Not Sustainable
128,2009,0,N7,P3,Shallow - Black,BLACK,23.48756,90.66227,27.8,32.62195122,1460,7.5,97.1625,0.1145,3.1924,13.7006,365,100,971.6251,114.5222397,1064.149667,6.850310547,353.9,Not Sustainable
130,2010,0,N7,P3,Intermediate,OFF-WHITE,23.48756,90.66227,26.1,111.2804878,1451,7.4,93.0686,0.1037,2.3697,12.544,362.75,80,930.6861,103.6871,789.9163333,6.27202,278.07,Very Poor
132,2009,0,N7,P4,Shallow - Black,BLACK,23.48756,90.66227,27.8,32.62195122,1040,6.7,137.0611,0.4777,2.8246,37.5928,260,-60,1370.611,477.7125244,941.5425618,18.79639648,592.7,Not Sustainable
134,2010,0,N7,P4,Intermediate,OFF-WHITE,23.48756,90.66227,27.4,111.2804878,749,6.9,138.4975,0.244,3.3657,46.8665,187.25,-20,1384.975,243.9864,1121.902333,23.433255,465.29,Not Sustainable
136,2009,0,N7,P5,Shallow - Black,BLACK,23.48756,90.66227,29.5,84.75609756,1320,6.5,5.6,0.1347,2.7082,58.2073,330,-100,56,134.6775055,902.722819,29.10365039,320.39,Not Sustainable
138,2010,0,N7,P5,Shallow - Black,BLACK,23.48756,90.66227,26.6,16.76829268,919,6.8,5.6,0.0999,2.2752,54.4281,229.75,-40,56,99.90227,758.3936667,27.214065,259.9,Very Poor
140,2011,0,N7,P5,Shallow - Black,BLACK,23.48756,90.66227,28.3,60.97560976,1661,6.98,5.6,0.091,1.7703,46.175,415.25,-4,56,91.03159,590.0896667,23.087475,212.43,Very Poor
142,2010,0,N7,P6,Shallow - Black,BLACK,23.48756,90.66227,27.8,16.76829268,593,7,10.1448,0.2012,2.5584,32.0795,148.25,0,101.4481,201.1934,852.7963333,16.039755,358.41,Not Sustainable
144,2011,0,N7,P6,Shallow - Black,BLACK,23.48756,90.66227,27.7,86.2804878,786,7.14,11.415,0.1392,2.9746,23.9903,196.5,28,114.1504,139.2103,991.5196667,11.99513,347.19,Not Sustainable
146,2009,0,N8,P1,Deep,WHITE,23.43483,90.63064,26.6,220.7317073,1000,6.8,563.4578,1.6335,3.976,153.0201,250,-40,5634.578,1633.502075,1325.318197,76.51002734,1570.03,Not Sustainable
148,2010,0,N8,P1,Shallow - Black,BLACK,23.43483,90.63064,264,30.48780488,694,7,464.3024,1.2397,4.6598,155.7583,173.5,0,4643.024,1239.712,1553.272667,77.879165,1328.98,Not Sustainable
150,2011,0,N8,P1,Intermediate,WHITE,23.43483,90.63064,26.8,112.804878,1237,6.94,561.6869,1.2519,4.0007,156.8369,309.25,-12,5616.869,1251.908,1333.570667,78.41845,1291.1,Not Sustainable
152,2009,0,N8,P2,Deep,WHITE,23.43483,90.63064,27,220.7317073,6040,6.9,95.8214,0.3395,4.9258,48.6612,1510,-20,958.2142,339.4516907,1641.930889,24.33057813,660.42,Not Sustainable
154,2010,0,N8,P2,Shallow - OffWhite,OFF-WHITE,23.43483,90.63064,26.8,86.8902439,3280,7,75.9476,0.1049,4.098,38.9945,820,0,759.4763,104.9227,1365.996,19.49725,418.49,Not Sustainable
156,2009,0,N8,P3,Intermediate,WHITE,23.43483,90.63064,27.6,108.2317073,6020,6.6,88.5849,0.1711,6.7079,86.7427,1505,-80,885.8492,171.144516,2235.974447,43.37134375,681.19,Not Sustainable
158,2010,0,N8,P3,Shallow - OffWhite,OFF-WHITE,23.43483,90.63064,27.3,86.8902439,3010,6.9,79.3203,0.094,7.6012,77.7164,752.5,-20,793.2032,94.03588,2533.745,38.85822,697.27,Not Sustainable
160,2009,0,N8,P4 (N8 - P6),Shallow - Black,BLACK,23.43483,90.63064,28.4,13.7195122,880,7,14.401,0.1631,1.8533,10.8307,220,0,144.0095,163.0598755,617.78125,5.41533252,272.93,Very Poor
162,2010,0,N8,P4 (N8 - P6),Shallow - Black,BLACK,23.43483,90.63064,28,235.0609756,652,6.9,15.4468,0.0506,1.8678,8.0434,163,-20,154.4676,50.57243,622.5913333,4.021696,191.12,Poor
164,2011,0,N8,P4 (N8 - P6),Shallow - Black,BLACK,23.43483,90.63064,26.9,16.76829268,953,6.95,15.6276,0.043,1.3466,8.5366,238.25,-10,156.2756,43.03752,448.858,4.268283,143.03,Poor
